Ticker,Loss
DISCA,35
VIAC,36
SIVB,40
AMAT,42
ENPH,52
DISCK,54
TSLA,59
ETSY,60
FCX,65
NWSA,65
NWS,75
TWTR,77
MOS,87
KLAC,87
URI,98
GM,104
APTV,105
PYPL,106
IVZ,114
ALB,119
ALGN,136
ILMN,145
AES,147
DE,149
FFIV,154
F,164
UAA,168
FANG,179
DVN,194
EXPE,197
GS,200
WDC,205
GOOG,205
UA,206
AVGO,206
HPQ,208
GOOGL,212
IPGP,215
MRO,227
FITB,229
OXY,231
SPG,232
HPE,233
ANET,241
KMX,241
EL,250
IDXX,250
DIS,252
AMP,254
HBAN,254
AVY,259
EMN,261
DFS,262
FLIR,266
ADI,267
ATVI,268
INTU,279
ANSS,282
DRI,286
GE,292
GPS,294
HOLX,296
EBAY,299
ALXN,301
FTNT,305
ABT,307
A,309
GRMN,310
EOG,312
INTC,313
APA,314
ALK,315
WBA,316
WAT,316
FRC,318
FRT,329
DHI,330
HAL,332
HES,332
BAC,334
HBI,335
HWM,338
HCA,338
AAPL,341
HFC,351
AXP,352
EMR,352
DAL,356
ADSK,359
AMD,364
ADM,367
AAL,367
FDX,368
DOW,373
DXCM,373
DHR,373
EQR,374
ESS,376
IPG,376
APH,379
DXC,382
HLT,394
VLO,394
AOS,397
ETN,398
IQV,398
DD,400
IFF,403
HST,404
FOXA,408
FLS,412
AME,414
CVS,414
AFL,417
AIG,418
AVB,418
FTI,427
IR,433
ABMD,436
FBHS,439
GLW,446
INFO,449
EA,450
FOX,451
AON,460
GD,464
IP,469
GILD,473
EXPD,475
DLTR,476
ACN,479
IEX,479
CVX,481
AWK,482
ABBV,482
FTV,483
HIG,483
AMZN,484
ADBE,484
ECL,490
ALLE,491
ABC,492
DRE,505
BA,508
ICE,512
HD,516
EW,524
FB,532
EXR,532
DPZ,536
GL,537
HSIC,538
DOV,549
AMGN,551
HII,558
AMCR,572
GPC,572
HRL,579
EQIX,579
HSY,580
ARE,581
FISV,585
HAS,587
EXC,595
DLR,598
DTE,603
AMT,607
FLT,612
AZO,613
FE,617
AKAM,617
DUK,620
GIS,627
INCY,632
IBM,636
ES,637
FIS,647
BAX,659
EVRG,671
ED,676
ATO,692
DISH,736
BF.B,745
BRK.B,749
CTLT,767
CTVA,775
COF,776
DGX,777
CBRE,788
HON,792
CDNS,795
CF,796
CAT,797
CFG,805
CDW,805
CMG,810
BIO,814
CMA,814
BEN,816
BKR,822
BBY,827
FAST,828
AJG,829
CMI,832
EFX,832
BLK,839
CMCSA,840
CE,841
CB,842
GPN,843
CARR,843
COP,845
ALL,849
COO,849
ADP,851
AAP,852
CRM,853
DG,853
AIZ,857
CSX,858
BWA,862
FMC,863
C,869
CTXS,877
CSCO,877
ANTM,878
CINF,880
CI,880
COG,883
BK,886
APD,886
BIIB,888
CME,890
EIX,892
HUM,893
BXP,905
CCI,907
CHRW,908
D,908
AEE,910
BSX,912
AEP,914
ETR,915
BDX,926
CNP,936
CNC,952
WRK,1005
ZBRA,1036
MU,1041
TPR,1044
LRCX,1048
LB,1061
TER,1062
MHK,1067
RF,1084
MGM,1102
MCHP,1108
KEYS,1111
RJF,1111
STX,1113
NLSN,1114
TRMB,1115
LYV,1118
KIM,1136
LLY,1138
SWKS,1140
SCHW,1141
RHI,1149
ULTA,1149
MET,1162
SNPS,1164
MLM,1166
NTAP,1167
MS,1168
IT,1169
ZION,1169
KEY,1174
PWR,1176
SLB,1176
CCL,1185
NWL,1187
JCI,1194
MPC,1194
PXD,1202
BKNG,1205
MXIM,1206
OKE,1210
PNC,1210
TGT,1214
STZ,1218
LEN,1220
JPM,1220
QRVO,1220
SYF,1221
NRG,1225
TEL,1238
PBCT,1240
TXT,1245
LUV,1247
TXN,1247
PVH,1250
WYNN,1250
TYL,1251
TFC,1251
XOM,1263
DVA,1265
MTB,1266
UNM,1267
PH,1268
WFC,1269
LNC,1277
REG,1278
NOW,1278
LYB,1279
WAB,1287
NSC,1294
L,1295
LUMN,1296
MTD,1298
PFG,1298
SNA,1299
UDR,1307
PSX,1309
J,1318
MSFT,1318
QCOM,1323
SYY,1324
SLG,1324
XLNX,1324
IRM,1325
PKI,1329
JNPR,1336
WMB,1340
XRX,1349
NUE,1352
WY,1352
MAR,1354
MAA,1355
MCK,1357
OMC,1358
LKQ,1360
NTRS,1370
LDOS,1377
TJX,1383
XRAY,1383
VTR,1385
NOV,1387
ROST,1389
MSCI,1391
UNP,1392
PRU,1396
NCLH,1396
WELL,1398
SYK,1406
USB,1407
TTWO,1410
ZBH,1410
PM,1413
RTX,1421
KMI,1421
TDY,1425
RE,1427
KHC,1430
UAL,1433
NVDA,1439
STT,1446
VNO,1448
LW,1463
LH,1464
VTRS,1474
TFX,1474
TDG,1480
CPRT,1480
CTSH,1488
CTAS,1493
TSCO,1495
VMC,1496
NVR,1505
PCAR,1508
VNT,1508
BLL,1513
RCL,1513
JBHT,1520
BR,1521
CHTR,1524
ODFL,1528
LOW,1534
TMO,1540
UHS,1540
KSU,1541
TROW,1542
NEE,1554
NFLX,1554
GWW,1567
NKE,1574
WHR,1574
NDAQ,1577
TRV,1583
JNJ,1588
SBUX,1590
CERN,1593
MNST,1596
WLTW,1597
CAH,1605
COST,1606
MSI,1608
CL,1608
CBOE,1610
PHM,1614
PKG,1615
ISRG,1619
PNR,1623
BMY,1626
WST,1629
MDT,1635
CHD,1646
MMM,1652
XYL,1652
PLD,1655
WU,1656
CPB,1659
UPS,1660
CLX,1666
CAG,1667
ROK,1670
PAYC,1671
KR,1671
MO,1676
TMUS,1677
VAR,1679
ZTS,1686
PEAK,1689
ORCL,1690
PPG,1694
SHW,1698
WMT,1703
SEE,1705
LIN,1712
LVS,1712
PAYX,1712
WRB,1719
MA,1722
CMS,1724
SWK,1724
PSA,1732
TSN,1733
OTIS,1734
STE,1735
SPGI,1735
VFC,1736
MKTX,1740
ROL,1744
ITW,1746
YUM,1753
RMD,1755
SJM,1763
LHX,1763
PEG,1764
O,1768
UNH,1769
MCD,1771
MAS,1772
REGN,1786
NLOK,1789
POOL,1793
MCO,1799
NEM,1802
SO,1805
PPL,1808
VRSK,1810
MMC,1822
RSG,1825
LEG,1834
ROP,1837
KO,1841
VRSN,1843
PRGO,1844
MDLZ,1846
SRE,1861
KMB,1864
ORLY,1865
PFE,1867
MKC,1876
NOC,1876
NI,1880
PG,1885
SBAC,1889
PGR,1891
PEP,1899
MRK,1910
PNW,1917
VRTX,1919
JKHY,1924
LMT,1930
XEL,1931
LNT,1940
K,1947
WEC,1960
