Ticker,Recent,1M,3M,6M,12M
A,127.98,117.39,101.66,97.1,87.24
AAL,17.27,16.15,10.95,11.4,26.8
AAP,152.81,157.66,146.38,148.21,138.55
AAPL,135.37,133.72,111.2,95.04,81.085
ABBV,104.44,105.27,80.49,97.01,83.2
ABC,105.18,96.96,95.7,103.31,89.86
ABMD,328.36,323.92,283.0,299.1,188.85
ABT,128.23,108.44,106.42,102.52,89.14
ACN,257.47,257.54,213.94,224.38,207.96
ADBE,498.84,497.45,456.97,436.3,351.66
ADI,160.78,146.18,116.47,117.53,113.23
ADM,55.72,49.91,49.52,42.92,43.68
ADP,167.03,173.81,155.08,137.12,171.04
ADSK,305.14,299.41,237.62,238.61,199.74
AEE,73.28,76.97,81.37,80.15,81.02
AEP,78.61,81.51,90.32,84.8,102.81
AES,28.53,22.78,19.5,15.56,20.32
AFL,46.92,44.01,34.15,36.5,52.38
AIG,41.4,37.52,30.23,32.67,50.35
AIZ,128.13,134.03,122.21,107.58,130.17
AJG,116.68,121.7,104.31,104.8,98.82
AKAM,101.59,104.65,97.4,110.68,94.84
ALB,164.64,149.29,90.78,83.83,80.73
ALGN,609.58,524.32,439.51,300.24,261.6
ALK,57.56,52.9,35.71,34.76,66.89
ALL,104.43,108.15,88.0,94.0,118.36
ALLE,118.26,114.94,96.36,98.22,130.82
ALXN,158.39,156.23,114.85,104.6,106.94
AMAT,116.7,86.98,57.32,63.25,59.82
AMCR,11.5,11.74,10.32,10.62,10.85
AMD,93.77,92.29,76.4,76.09,47.51
AME,121.75,119.83,98.19,94.35,99.63
AMGN,237.21,227.17,216.38,248.85,227.15
AMP,218.08,191.35,158.25,156.91,166.04
AMT,227.19,220.34,230.13,271.29,233.44
AMZN,3277.71,3285.8501,3162.78,3033.53,1858.0
ANET,323.31,288.96,204.38,246.92,235.05
ANSS,403.6,362.32,308.03,306.05,277.72
ANTM,290.68,314.05,285.8,281.56,272.91
AON,228.04,206.71,194.7,205.8,216.58
AOS,60.37,54.71,51.46,53.3,44.31
APA,17.48,14.57,7.79,13.65,28.09
APD,260.55,271.1,272.98,288.85,237.27
APH,135.9,129.84,111.51,105.83,103.42
APTV,156.29,130.79,93.57,83.67,89.88
ARE,173.06,175.09,152.17,176.06,164.52
ATO,91.05,93.51,92.69,105.66,116.31
ATVI,103.81,91.58,79.01,81.2,60.4
AVB,179.51,158.05,132.71,151.58,216.62
AVGO,486.32,434.83,347.21,308.85,317.51
AVY,177.23,154.19,135.15,117.96,136.23
AWK,161.69,150.63,153.0,147.99,136.04
AXP,129.62,119.43,91.6,96.69,131.68
AZO,1146.65,1175.87,1128.85,1179.55,1096.51
